,nav_long,nav_rest,nav_hs300,rel_vs_rest_pct,rel_vs_hs300_pct
2025-08-15,1.2132838746037842,1.4538296942288473,1.2870870266593293,-16.545666977359097,-5.734122909085892
2025-08-18,1.2160404550824555,1.4711019804614782,1.2984374325231993,-17.338126708184497,-6.345856594770627
2025-08-19,1.2009931903978808,1.4687856975315712,1.293525228552064,-18.23223820763915,-7.153477652520235
2025-08-20,1.2095433007580405,1.488910805910876,1.308233203502225,-18.763212950283204,-7.543754621116882
2025-08-21,1.2015517631951225,1.4927739895396492,1.3133403532178003,-19.508795597003648,-8.51177607912419
2025-08-22,1.2322369341214856,1.5237825981337823,1.3408829863054068,-19.133022280826705,-8.10257519064198
2025-08-25,1.2385034944472737,1.5564911362543536,1.368822861546256,-20.429775306803677,-9.520542851817249
2025-08-26,1.2390565653384686,1.5564749790588983,1.3637290961653739,-20.393415762606892,-9.142030567322202
2025-08-27,1.2246959242773185,1.5321434541421213,1.3433726869526637,-20.066497626813206,-8.834239658731946
2025-08-28,1.2367846301491452,1.5597997916290847,1.367156802840788,-20.708757829912017,-9.536007312456418
2025-08-29,1.243075698786714,1.569306810392476,1.3772569525799467,-20.788230156483756,-9.742644866804095
2025-09-01,1.2685503294699,1.5803173829496087,1.385511748658735,-19.728129098840007,-8.441748639234635
2025-09-02,1.2501464538649494,1.5616844523259712,1.3753254736354652,-19.948844210942706,-9.101774246907823
2025-09-03,1.2630848692936594,1.5456450955096748,1.365946270931401,-18.281054754218427,-7.530413445003459
2025-09-04,1.2465910897173687,1.5150347025425437,1.3369659397778457,-17.718644488781067,-6.759697264650888
2025-09-05,1.2740084855924374,1.549787242488566,1.3660979702671763,-17.794620405656303,-6.7410600615070315
2025-09-08,1.2814558541858279,1.5623527814167202,1.3683179934156435,-17.97909733140929,-6.34809595779614
2025-09-09,1.2687995741283493,1.551750378690674,1.3587269384391059,-18.23429905015206,-6.618501611078997
2025-09-10,1.2648044752120933,1.5529495427854918,1.3615160561480508,-18.55469605641913,-7.103227354480879
2025-09-11,1.2708607142051986,1.5873772492548655,1.3929614632232492,-19.93959124702358,-8.765551111192627
2025-09-12,1.2487496174837236,1.5815204793717936,1.384987064362112,-21.04119840548965,-9.836730636985102
2025-09-15,1.266552417856305,1.583230385459351,1.3883737910837066,-20.0020142685151,-8.774393035200767
2025-09-16,1.2520549968834884,1.583875580910988,1.3853970782946838,-20.94991475508754,-9.624827675782976
2025-09-17,1.2605073289871505,1.593955245105975,1.393876774075188,-20.919528145011068,-9.568237850618166
2025-09-18,1.238309346963388,1.5764682662708047,1.377670396822554,-21.450410803849827,-10.115703304693724
2025-09-19,1.2321204288763945,1.5784519817204257,1.3788374679288995,-21.941215624852195,-10.640633320828108
2025-09-22,1.2300201872809369,1.585161231061832,1.3851738937479856,-22.404095988582895,-11.201027334354086
2025-09-23,1.226568861714977,1.5810875454080315,1.3843071585363738,-22.42245754972182,-11.394746884656238
