ts_code,name,last_launch,bars_ago,last_quality,last_excess_mfe_20,last_mae_20,last_excess_ret_20,last_efficiency_20,n_hist,n_high,n_low,hit_rate,med_excess_mfe_20,med_mae_20,recent_launch,hist_ok,last_is_low,score,l2_flow,env_level,rating_kind,live_filter,archive_only,note,recommend_rank
601328.SH,交通银行,2025-07-04,274,low_value,-0.0388121066751681,-0.08150851581508511,-0.09247179857904708,0.14925373134328485,7,1,5,0.14285714285714285,0.012701423827468084,-0.014705882352941124,0,0,1,0.017784274251820754,-0.0120752994522355,4,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
000538.SZ,云南白药,2025-06-25,281,low_value,-0.030062119776014917,-0.009846043680630134,-0.0283339180703277,1.9636363636363612,3,1,2,0.3333333333333333,-0.007256918796276324,-0.03389639639639652,0,0,1,-0.012024847910405968,-0.0134300442497884,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
002179.SZ,中航光电,2025-06-23,283,low_value,0.002278102131131554,-0.011026516145970056,-0.02909405941756682,5.571428571428582,4,0,3,0.0,0.022980117553316082,-0.07617610616590237,0,0,1,0.003924113275092786,-0.0010018396489122,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
688396.SH,华润微,2025-06-23,283,low_value,-0.00542727479240579,-0.0015350877192982226,-0.013409139583194785,35.000000000000654,2,0,2,0.0,0.00705090736028624,-0.011890654010837054,0,0,1,-0.002170909916962316,-0.0085958052813596,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
002371.SZ,北方华创,2025-06-19,285,neutral,0.03313454198240939,-0.007224478232127796,-0.03187898623723884,12.612938359122559,4,1,2,0.25,0.037326748575548074,-0.06803573558168086,0,1,0,0.07398949968799376,0.0974158954890202,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
601658.SH,邮储银行,2025-04-08,333,low_value,-0.004635040874376939,-0.017578125,-0.004611900551894976,3.111111111111111,3,2,1,0.6666666666666666,0.07693790593382022,-0.0065359477124183885,0,0,1,-0.0018540163497507756,0.0051003783216454,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
600016.SH,民生银行,2025-04-01,337,low_value,0.022021229111305773,-0.06075949367088607,0.03771919500443588,0.4166666666666653,5,0,5,0.0,0.004945311069766367,-0.0286624203821656,0,0,1,0.008720699074615276,0.0202862905977083,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
601238.SH,广汽集团,2025-03-26,341,low_value,0.0006684221435437898,-0.1410404624277457,-0.04185635318410319,0.06557377049180323,3,0,2,0.0,0.028803214168508617,-0.12435233160621773,0,0,1,0.0002673688574175159,0.0215574119004803,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
000895.SZ,双汇发展,2025-03-25,342,high_value,0.06059300323093164,-0.01979444232965366,0.059818832571299385,3.3269230769230695,8,3,4,0.375,0.03407963883928511,-0.04445241829662544,0,1,0,0.11156633701153919,0.000931182894552,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
001391.SZ,国货航,2025-03-18,347,high_value,0.15002620701176128,-0.06470588235294117,0.14096540163375415,2.386363636363635,1,1,0,1.0,0.15002620701176128,-0.06470588235294117,0,0,0,0.060010482804704515,0.0838326362788245,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
600941.SH,中国移动,2025-03-05,356,low_value,-0.02951046531983592,-0.03487728363166631,-0.0019835942278564334,0.05555555555555573,2,0,2,0.0,-0.00573926261837876,-0.04012108757520194,0,0,1,-0.01180418612793437,-0.0469556108031363,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
601117.SH,中国化学,2025-02-26,361,neutral,0.024534957332441598,-0.025991792065663377,0.03487261654628171,1.5789473684210553,5,0,3,0.0,0.024534957332441598,-0.06144393241167434,0,0,0,0.014223882907981907,-0.0203073633544569,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
002027.SZ,分众传媒,2025-02-24,363,high_value,0.0763506931069684,-0.030627871362940318,0.08994743257014093,2.9499999999999997,5,3,2,0.6,0.05214817050404985,-0.03975535168195732,0,1,0,0.17136385240820634,0.0895286615727818,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
601021.SH,春秋航空,2025-02-24,363,neutral,0.023734321642898237,-0.03068420049552134,0.011832934998276534,1.2298136645962694,2,0,0,0.0,0.03659289576174474,-0.017233992139652543,0,0,0,0.009493728657159296,-0.0138501131303108,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
600160.SH,巨化股份,2025-02-18,367,low_value,0.037049859636982596,-0.07214832728738407,-0.006529275880991392,0.8994413407821225,12,2,9,0.16666666666666666,0.03027098613311585,-0.10540424792931119,0,0,1,0.053485114402962594,0.0116824696792618,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
300442.SZ,润泽科技,2025-02-17,368,high_value,0.22452106636031477,-0.08942819148936165,0.06710914934474665,2.7211895910780695,5,2,3,0.4,0.03558731379496094,-0.07805390269513479,0,1,0,0.1808690059347549,0.6050933494223593,4,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
600048.SH,保利发展,2025-02-07,374,neutral,0.03264945985267165,-0.03431952662721882,0.02823865994878605,1.7241379310344909,5,2,1,0.4,0.08921551204378564,-0.03431952662721882,0,1,0,0.12444173131788479,-0.0321831147263299,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
601127.SH,赛力斯,2025-02-07,374,low_value,0.013737210832321933,-0.11783775633293125,0.0011430289397282856,0.3416506717850285,2,1,1,0.5,0.1280990519845593,-0.0659037442898649,0,0,1,0.005494884332928773,-0.0008125038603297,3,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
600176.SH,中国巨石,2025-01-27,377,low_value,-0.001726476414630529,-0.04424778761061943,-0.011656807850795925,1.020000000000002,5,1,4,0.2,0.001160545935694035,-0.04424778761061943,0,0,1,0.03903752233628965,-0.0153680371575969,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
600039.SH,四川路桥,2025-01-24,378,low_value,0.016773716826659735,-0.02824858757062143,0.032101409370470124,2.100000000000005,2,1,1,0.5,0.06719445202920782,-0.016176277369441994,0,0,1,0.006709486730663895,-0.0168280712228769,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
000157.SZ,中联重科,2025-01-14,386,low_value,0.018574860766532142,-0.03389830508474578,0.006825695756904837,1.6666666666666634,3,0,3,0.0,0.018574860766532142,-0.06327160493827155,0,0,1,0.0074299443066128575,0.1661132845089414,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
000792.SZ,盐湖股份,2025-01-14,386,low_value,-0.006388051184898602,-0.02910855063674933,-0.034948466293027614,1.083333333333345,1,0,1,0.0,-0.006388051184898602,-0.02910855063674933,0,0,1,-0.002555220473959441,0.0365785545134838,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
600089.SH,特变电工,2025-01-14,386,low_value,-0.01676690347153742,-0.037428803905614316,-0.028868888513067903,0.5652173913043476,1,0,1,0.0,-0.01676690347153742,-0.037428803905614316,0,0,1,-0.006706761388614969,0.0521502657151797,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
002304.SZ,洋河股份,2025-01-14,386,low_value,-0.01975366080355423,-0.015531114348452668,-0.032233507846732956,1.169822922137367,3,1,2,0.3333333333333333,0.00921402236271407,-0.03493082626308952,0,0,1,-0.007901464321421692,0.0087696257293439,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
600893.SH,航发动力,2025-01-09,389,low_value,-0.020021236347177895,-0.04730077120822618,-0.05238234397314534,0.48369565217391336,2,0,1,0.0,0.012181573371637167,-0.027493061915143835,0,0,1,-0.00800849453887116,0.040597027825546,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
600188.SH,兖矿能源,2024-12-25,399,low_value,0.001598049393966905,-0.09090909090909094,-0.03128782200183999,0.07692307692307551,4,0,4,0.0,-0.0039016567452079265,-0.07108761987794249,0,0,1,-0.004913584161008403,0.0455025097785298,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
601600.SH,中国铝业,2024-12-24,400,neutral,0.06604967092577652,-0.05307529337424444,0.09310194751377099,1.3583140174939166,6,2,3,0.3333333333333333,0.0623825235995642,-0.05168557568120502,0,1,0,0.11390496661729449,0.0116041667715052,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
