date,close,label,pos_state,eq_state,benchmark,pos_event,eq_event
2018-11-22,3214.427,watch,0.0,1.0,1.2792970452323116,0.0,1.0
2018-11-23,3143.475,watch,0.0,1.0,1.2510591403262978,0.0,1.0
2018-11-26,3141.243,watch,0.0,1.0,1.2501708355040206,0.0,1.0
2018-11-27,3137.241,watch,0.0,1.0,1.2485780954060126,0.0,1.0
2018-11-28,3178.932,watch,0.0,1.0,1.2651705310447063,0.0,1.0
2018-11-29,3137.654,watch,0.0,1.0,1.2487424636370164,0.0,1.0
2018-11-30,3172.69,watch,0.0,1.0,1.2626863022361694,0.0,1.0
2018-12-03,3260.95,watch,0.0,1.0,1.2978125493751476,0.0,1.0
2018-12-04,3267.709,watch,0.0,1.0,1.3005025369619632,0.0,1.0
2018-12-05,3252.004,watch,0.0,1.0,1.2942521663374713,0.0,1.0
2018-12-06,3181.673,watch,0.0,1.0,1.2662614107570107,0.0,1.0
2018-12-07,3181.564,watch,0.0,1.0,1.2662180302795787,0.0,1.0
2018-12-10,3144.763,watch,0.0,1.0,1.2515717463348526,0.0,1.0
2018-12-11,3159.815,watch,0.0,1.0,1.257562232080784,0.0,1.0
2018-12-12,3170.609,watch,0.0,1.0,1.2618580933046468,0.0,1.0
2018-12-13,3219.692,watch,0.0,1.0,1.2813924416880875,0.0,1.0
2018-12-14,3165.91,watch,0.0,1.0,1.2599879569426928,0.0,1.0
2018-12-17,3161.196,watch,0.0,1.0,1.2581118507902664,0.0,1.0
2018-12-18,3128.426,watch,0.0,1.0,1.2450698485384615,0.0,1.0
2018-12-19,3091.125,watch,0.0,1.0,1.230224571577992,0.0,1.0
2018-12-20,3067.416,watch,0.0,1.0,1.2207887207574841,0.0,1.0
2018-12-21,3029.395,watch,0.0,1.0,1.2056568938543446,0.0,1.0
2018-12-24,3038.198,watch,0.0,1.0,1.2091603648895184,0.0,1.0
2018-12-25,3017.281,watch,0.0,1.0,1.2008356910689202,0.0,1.0
2018-12-26,3002.032,watch,0.0,1.0,1.1947668020747861,0.0,1.0
2018-12-27,2990.505,watch,0.0,1.0,1.190179217089844,0.0,1.0
2018-12-28,3010.653,watch,0.0,1.0,1.1981978396522295,0.0,1.0
2019-01-02,2969.535,watch,0.0,1.0,1.181833450009577,0.0,1.0
2019-01-03,2964.842,watch,0.0,1.0,1.179965701563812,0.0,1.0
2019-01-04,3035.874,watch,0.0,1.0,1.2082354453523445,0.0,1.0
2019-01-07,3054.303,watch,0.0,1.0,1.215569929926605,0.0,1.0
2019-01-08,3047.703,watch,0.0,1.0,1.2129432221187955,0.0,1.0
2019-01-09,3078.475,watch,0.0,1.0,1.225190048279691,0.0,1.0
2019-01-10,3072.686,watch,0.0,1.0,1.222886107143417,0.0,1.0
2019-01-11,3094.778,watch,0.0,1.0,1.2316784145510113,0.0,1.0
2019-01-14,3067.784,watch,0.0,1.0,1.220935179617071,0.0,1.0
2019-01-15,3127.99,watch,0.0,1.0,1.2448963266287334,0.0,1.0
