ts_code,signal_date,entry_date,entry_price,exit_date,exit_price,signal_pos
000807.SZ,2024-09-02,2024-09-03,11.21800464,2026-08-19,,1.0
000975.SZ,2024-09-02,2024-09-03,15.1508454,2026-08-19,,1.0
001391.SZ,2025-03-18,2025-03-19,6.52883357,2026-08-19,,0.35
000988.SZ,2024-09-02,2024-09-03,28.97912052,2026-08-19,,0.35
001979.SZ,2024-09-02,2024-09-03,8.51065536,2026-08-19,,3.0
001965.SZ,2024-09-02,2024-09-03,11.51879768,2026-08-19,,3.0
002027.SZ,2024-09-02,2024-09-03,5.01401374,2026-08-19,,1.0
002028.SZ,2024-09-02,2024-09-03,63.91292796,2026-08-19,,0.35
002050.SZ,2024-09-02,2024-09-03,16.48429176,2026-08-19,,1.0
002142.SZ,2024-09-02,2024-09-03,18.59097165,2026-08-19,,3.0
002179.SZ,2024-09-02,2024-09-03,35.5104225,2026-08-19,,0.35
002202.SZ,2024-09-02,2024-09-03,8.03905577,2026-08-19,,1.0
002241.SZ,2024-09-02,2024-09-03,19.4620392,2026-08-19,,0.35
002230.SZ,2024-09-02,2024-09-03,33.2519378,2026-08-19,,0.35
002236.SZ,2024-09-02,2024-09-03,12.57960288,2026-08-19,,0.35
002304.SZ,2024-09-02,2024-09-03,70.4221784,2026-08-19,,3.0
002352.SZ,2024-09-02,2024-09-03,33.96256398,2026-08-19,,3.0
002371.SZ,2024-09-02,2024-09-03,227.39854683,2026-08-19,,1.0
002353.SZ,2024-09-02,2024-09-03,27.62544168,2026-08-19,,1.0
002311.SZ,2024-09-02,2024-09-03,36.03939658,2026-08-19,,3.0
002415.SZ,2024-09-02,2024-09-03,24.58253856,2026-08-19,,0.35
002384.SZ,2024-09-02,2024-09-03,22.59403185,2026-08-19,,0.35
002422.SZ,2024-09-02,2024-09-03,29.2055015,2026-08-19,,1.0
002460.SZ,2024-09-02,2024-09-03,25.9105401,2026-08-19,,1.0
002466.SZ,2024-09-02,2024-09-03,24.95,2026-08-19,,1.0
002475.SZ,2024-09-02,2024-09-03,37.91465604,2026-08-19,,0.35
002463.SZ,2024-09-02,2024-09-03,31.930233,2026-08-19,,0.35
002493.SZ,2024-09-02,2024-09-03,8.48479365,2026-08-19,,1.0
002558.SZ,2024-09-02,2024-09-03,8.80970707,2026-08-19,,0.35
002594.SZ,2024-09-02,2024-09-03,78.8930296,2026-08-19,,1.0
002532.SZ,2024-09-02,2024-09-03,6.1375339,2026-08-19,,1.0
002602.SZ,2024-09-02,2024-09-03,3.29657133,2026-08-19,,0.35
002648.SZ,2024-09-02,2024-09-03,15.17242626,2026-08-19,,1.0
002709.SZ,2024-09-02,2024-09-03,13.77074052,2026-08-19,,0.35
002714.SZ,2024-09-02,2024-09-03,35.89370148,2026-08-19,,1.0
002837.SZ,2024-09-02,2024-09-03,12.737683,2026-08-19,,1.0
002736.SZ,2024-09-02,2024-09-03,,2026-08-19,,3.0
002920.SZ,2026-03-12,2026-03-13,115.8144616,2026-08-19,,3.0
002938.SZ,2024-09-02,2024-09-03,33.52199721,2026-08-19,,0.35
003816.SZ,2024-09-02,2024-09-03,4.56680037,2026-08-19,,3.0
300014.SZ,2024-09-02,2024-09-03,31.79162896,2026-08-19,,0.35
300059.SZ,2024-12-06,2024-12-09,27.35263812,2026-08-19,,0.35
300033.SZ,2024-09-02,2024-09-03,68.78618095,2026-08-19,,3.0
300122.SZ,2024-09-02,2024-09-03,22.14983651,2026-08-19,,1.0
300124.SZ,2024-09-02,2024-09-03,41.5002064,2026-08-19,,0.35
300251.SZ,2024-09-02,2024-09-03,6.5976525,2026-08-19,,0.35
300274.SZ,2024-09-02,2024-09-03,74.01056256,2026-08-19,,0.35
300308.SZ,2024-09-02,2024-09-03,103.5046866,2026-08-19,,0.35
300408.SZ,2024-09-02,2024-09-03,29.8957669,2026-08-19,,0.35
300433.SZ,2025-09-17,2025-09-18,31.56969915,2026-08-19,,3.0
300442.SZ,2024-09-02,2024-09-03,22.3425682,2026-08-19,,0.35
300628.SZ,2025-11-24,2025-11-25,32.82257946,2026-08-19,,1.0
300476.SZ,2024-09-02,2024-09-03,31.20098445,2026-08-19,,0.35
300498.SZ,2025-11-24,2025-11-25,17.3641759,2026-08-19,,1.0
300661.SZ,2024-09-02,2024-09-03,53.28185912,2026-08-19,,0.35
300750.SZ,2024-09-02,2024-09-03,171.955716,2026-08-19,,0.35
300760.SZ,2024-09-02,2024-09-03,231.41412863,2026-08-19,,1.0
300999.SZ,2024-09-02,2024-09-03,25.2347641,2026-08-19,,3.0
