,gross_ret,net_ret,cost,turnover,n_hold,n_rest,uni_ew_ret,unselected_ew_ret,held_cc_ret,hs300_ret,hs300_open_to_close,gross_vs_hs300,net_vs_hs300,gross_vs_uni,net_vs_uni,gross_vs_unselected,net_vs_unselected
2012-02-01,-0.02032234946543221,-0.02032234946543221,0.0,0.0,1,187,-0.008541350107697502,-0.008478741171461657,-0.02024922118380057,-0.014310989911778815,-0.011894315957844515,-0.006011359553653395,-0.006011359553653395,-0.011780999357734709,-0.011780999357734709,-0.011843608293970553,-0.011843608293970553
2012-02-02,0.03170579920836292,0.03170579920836292,0.0,0.0,1,187,0.019442351672345873,0.01937628669527426,0.031796502384737746,0.023566958172807295,0.02000763086314916,0.008138841035555622,0.008138841035555622,0.012263447536017043,0.012263447536017043,0.012329512513088656,0.012329512513088656
2012-02-03,0.009309392396971705,0.009309392396971705,0.0,0.0,1,187,0.012867468513517687,0.012886840044093507,0.009244992295839749,0.00798475447644198,0.011198642960438043,0.0013246379205297254,0.0013246379205297254,-0.0035580761165459815,-0.0035580761165459815,-0.0035774476471218015,-0.0035774476471218015
2012-02-06,-0.0015267175572518665,-0.0015267175572518665,0.0,0.0,1,187,0.0034577004294562893,0.00348435507109644,-0.0015267175572518665,-0.0007054814471946225,-0.002727809962838057,-0.0008212361100572441,-0.0008212361100572441,-0.004984417986708156,-0.004984417986708156,-0.005011072628348307,-0.005011072628348307
2012-02-07,-0.016885438720301127,-0.016885438720301127,0.0,0.0,1,187,-0.017348236587590687,-0.01735106367166634,-0.01681957186544336,-0.018515190937906545,-0.01248597848480859,0.001629752217605418,0.001629752217605418,0.0004627978672895605,0.0004627978672895605,0.0004656249513652136,0.0004656249513652136
2012-02-08,0.026438569206842955,0.026438569206842955,0.0,0.0,1,187,0.027435991401178243,0.027441325209704093,0.026438569206842955,0.028593700288939372,0.029235204700169604,-0.0021551310820964176,-0.0021551310820964176,-0.0009974221943352887,-0.0009974221943352887,-0.0010027560028611389,-0.0010027560028611389
2012-02-09,-0.007584954246562692,-0.007584954246562692,0.0,0.0,1,187,0.00226569130314215,0.002318319372013272,-0.007575757575757569,0.0003935550320461889,0.0014420398568413262,-0.00797850927860888,-0.00797850927860888,-0.009850645549704842,-0.009850645549704842,-0.009903273618575964,-0.009903273618575964
2012-02-10,-0.007647615818944908,-0.007647615818944908,0.0,0.0,1,187,0.0022134788749491705,0.0022661369854369176,-0.007633587786259555,0.0017368915690183506,0.004738118616348652,-0.009384507387963259,-0.009384507387963259,-0.009861094693894078,-0.009861094693894078,-0.009913752804381826,-0.009913752804381826
2012-02-13,-0.012307692307692464,-0.012307692307692464,0.0,0.0,1,187,0.0065291745124383006,0.006629906420567343,-0.012307692307692464,-0.0006484782272347944,0.011008980158999648,-0.01165921408045767,-0.01165921408045767,-0.018836866820130763,-0.018836866820130763,-0.018937598728259807,-0.018937598728259807
2012-02-14,-0.0015576323987538387,-0.0015576323987538387,0.0,0.0,1,187,-0.002972341499410032,-0.0029799067887183537,-0.0015576323987538387,-0.0038997133074853974,-0.0027125699939936077,0.0023420809087315586,0.0023420809087315586,0.0014147091006561931,0.0014147091006561931,0.001422274389964515,0.001422274389964515
2012-02-15,0.001574710875759,0.001574710875759,0.0,0.0,1,187,0.013713089129814811,0.013778078577554484,0.0015600624024960652,0.010903581806798845,0.013426190730768894,-0.009328870931039845,-0.009328870931039845,-0.012138378254055811,-0.012138378254055811,-0.012203367701795484,-0.012203367701795484
2012-02-16,-0.0031152647975077885,-0.0031152647975077885,0.0,0.0,1,187,-0.0038395969553955025,-0.0038434703893949025,-0.0031152647975077885,-0.005307876861022076,-0.003366683158842476,0.0021926120635142876,0.0021926120635142876,0.000724332157887714,0.000724332157887714,0.000728205591887114,0.000728205591887114
2012-02-17,0.006262112403101039,0.006262112403101039,0.0,0.0,1,187,-0.0009566966026810083,-0.0009952350871873243,0.006250000000000089,0.0003990419837904824,-0.005771970146738803,0.0058630704193105565,0.0058630704193105565,0.007218809005782047,0.007218809005782047,0.007257347490288363,0.007257347490288363
2012-02-20,0.0048670048835995905,0.0048670048835995905,0.0,0.0,1,187,0.0013835704250747065,0.0013660580471704664,0.004658385093167627,0.0014268337770182438,-0.012131465095744143,0.0034401711065813467,0.0034401711065813467,0.003483434458524884,0.003483434458524884,0.0035009468364291243,0.0035009468364291243
2012-02-21,0.0,0.0,0.0,0.0,1,187,0.009614852356134861,0.00966626867889494,0.0,0.008559431905934778,0.00692304216186912,-0.008559431905934778,-0.008559431905934778,-0.009614852356134861,-0.009614852356134861,-0.00966626867889494,-0.00966626867889494
2012-02-22,2.3925620032949624e-06,2.3925620032949624e-06,0.0,0.0,1,187,0.01678377158677009,0.016873524376004156,0.0,0.013667762881894863,0.012931718607113396,-0.013665370319891568,-0.013665370319891568,-0.016781379024766795,-0.016781379024766795,-0.01687113181400086,-0.01687113181400086
2012-02-23,-0.003093582670194883,-0.003093582670194883,0.0,0.0,1,187,0.0027191968937707394,0.002750268482016528,-0.0030911901081916993,0.003380204475421422,0.004036167948041847,-0.006473787145616305,-0.006473787145616305,-0.005812779563965623,-0.005812779563965623,-0.005843851152211411,-0.005843851152211411
2012-02-24,0.012386300909592585,0.012386300909592585,0.0,0.0,1,187,0.012814169422414593,0.0128163676504746,0.012403100775193687,0.016023368387449333,0.0156013468137437,-0.003637067477856748,-0.003637067477856748,-0.00042786851282200847,-0.00042786851282200847,-0.00043006674088201524,-0.00043006674088201524
2012-02-27,-0.004584814382923463,-0.004584814382923463,0.0,0.0,1,187,0.00484226376067039,0.004892726030537296,-0.004594180704441064,0.003231097081325407,-0.0005823662654936834,-0.00781591146424887,-0.00781591146424887,-0.009427078143593854,-0.009427078143593854,-0.009477540413460758,-0.009477540413460758
2012-02-28,0.013898385565052185,0.013898385565052185,0.0,0.0,1,187,-0.0035847151584648637,-0.003677928361698119,0.013846153846153841,0.0022171421602192876,0.0038158729153330295,0.011681243404832897,0.011681243404832897,0.01748310072351705,0.01748310072351705,0.017576313926750305,0.017576313926750305
2012-02-29,0.0,0.0,0.0,0.0,1,187,-0.010374621030805038,-0.010430100287654263,0.0,-0.010636767534422109,-0.008176265447926823,0.010636767534422109,0.010636767534422109,0.010374621030805038,0.010374621030805038,0.010430100287654263,0.010430100287654263
2012-03-01,2.081868314895985e-05,2.081868314895985e-05,0.0,0.0,1,187,0.002076240478114539,0.002087343368371836,0.0,-0.00030294482873560735,0.004044629713158221,0.0003237635118845672,0.0003237635118845672,-0.002055421794965579,-0.002055421794965579,-0.002066524685222876,-0.002066524685222876
2012-03-02,0.015199874545110736,0.015199874545110736,0.0,0.0,1,187,0.017444398044984755,0.017456536500687733,0.015174506828528056,0.01769194693441256,0.015911152590959654,-0.002492072389301825,-0.002492072389301825,-0.002244523499874019,-0.002244523499874019,-0.002256661955576996,-0.002256661955576996
2012-03-05,-0.013430604823416514,-0.013430604823416514,0.0,0.0,1,187,-0.0014237862718158886,-0.0013594593813004317,-0.013452914798206317,-0.006431501671309903,-0.009317121447759091,-0.006999103152106612,-0.006999103152106612,-0.012006818551600625,-0.012006818551600625,-0.012071145442116082,-0.012071145442116082
2012-03-06,-0.016689658343679525,-0.016689658343679525,0.0,0.0,1,187,-0.010194187323671885,-0.010159575134671913,-0.016666666666666607,-0.015640527014328942,-0.012711696817725104,-0.0010491313293505833,-0.0010491313293505833,-0.006495471020007641,-0.006495471020007641,-0.006530083209007612,-0.006530083209007612
2012-03-07,-0.012362434228415431,-0.012362434228415431,0.0,0.0,1,187,-0.005871930247036902,-0.005837412994911681,-0.012326656394453184,-0.006885403265558976,0.0025134037286649313,-0.005477030962856455,-0.005477030962856455,-0.006490503981378529,-0.006490503981378529,-0.00652502123350375,-0.00652502123350375
2012-03-08,0.0031394744161860055,0.0031394744161860055,0.0,0.0,1,187,0.012770447588410056,0.012822053592599457,0.0031201248049923525,0.012595442575023874,0.008952676903219103,-0.009455968158837869,-0.009455968158837869,-0.00963097317222405,-0.00963097317222405,-0.009682579176413452,-0.009682579176413452
2012-03-09,0.006213595046511422,0.006213595046511422,0.0,0.0,1,187,0.013161194156533775,0.013198308350882221,0.0062208398133747345,0.010816866739434161,0.007640406943761668,-0.004603271692922739,-0.004603271692922739,-0.006947599110022353,-0.006947599110022353,-0.006984713304370799,-0.006984713304370799
2012-03-12,-0.008376052608396523,-0.009676052608396522,0.0013,1.0,2,186,0.0019680013300207165,0.002054066506648601,-0.006036060096372531,-0.0037157949811995605,-0.0033196369989519914,-0.004660257627196962,-0.005960257627196961,-0.010344053938417239,-0.011644053938417238,-0.010430119115045124,-0.011730119115045123
2012-03-13,0.010123516014058809,0.010123516014058809,0.0,0.0,2,186,0.007063940042873264,0.007031584028493078,0.010073049380230792,0.010047837516698577,0.010322265562439537,7.567849736023202e-05,7.567849736023202e-05,0.0030595759711855445,0.0030595759711855445,0.0030919319855657306,0.0030919319855657306
2012-03-14,-0.01888001431535476,-0.019746680982021425,0.0008666666666666666,0.6666666666666667,3,186,-0.03490690995861124,-0.035170918517186886,-0.018538379326920856,-0.028334551129342467,-0.033167500162369135,0.009454536813987707,0.008587870147321042,0.01602689564325648,0.015160228976589814,0.016290904201832126,0.015424237535165461
2012-03-15,0.0028454801248995647,0.0028454801248995647,0.0,0.0,3,186,-0.008065844745164648,-0.008241877628509659,0.002848194022226099,-0.00750833171471732,-0.006575962063442131,0.010353811839616884,0.010353811839616884,0.010911324870064212,0.010911324870064212,0.011087357753409223,0.011087357753409223
2012-03-16,0.011227024695002474,0.011227024695002474,0.0,0.0,3,186,0.019070959914848272,0.019197737590973322,0.011210743995095326,0.014687033222383183,0.012238598657303701,-0.003460008527380709,-0.003460008527380709,-0.007843935219845798,-0.007843935219845798,-0.007970712895970847,-0.007970712895970847
2012-03-19,-0.0029451088928565215,-0.0029451088928565215,0.0,0.0,3,186,0.007552000153455318,0.0077216044618890305,-0.00296346696943491,0.0024749191925352854,0.00471833261895549,-0.005420028085391807,-0.005420028085391807,-0.010497109046311839,-0.010497109046311839,-0.010666713354745552,-0.010666713354745552
2012-03-20,-0.004253142706987992,-0.004253142706987992,0.0,0.0,3,186,-0.019034596469899502,-0.019272607568616484,-0.0042779083494465615,-0.017326150098877724,-0.014571084318973804,0.013073007391889732,0.013073007391889732,0.01478145376291151,0.01478145376291151,0.015019464861628492,0.015019464861628492
2012-03-21,-0.01690727737261925,-0.01690727737261925,0.0,0.0,3,186,0.001200882261775472,0.0014926830573467617,-0.01689076706364449,0.0012954425418223448,-0.003689109196785223,-0.018202719914441595,-0.018202719914441595,-0.018108159634394723,-0.018108159634394723,-0.01839996042996601,-0.01839996042996601
2012-03-22,-0.0031527820888722635,-0.0031527820888722635,0.0,0.0,3,186,-0.002680917915546041,-0.002673486311150995,-0.003141677388038907,-0.001563494452608949,-0.001233504629797988,-0.0015892876362633146,-0.0015892876362633146,-0.0004718641733262225,-0.0004718641733262225,-0.0004792957777212687,-0.0004792957777212687
2012-03-23,-0.0024148292817717317,-0.0034548292817717314,0.0010399999999999997,0.7999999999999999,5,184,-0.014761160259249067,-0.015013196718644947,-0.005486218553480504,-0.011923381043112857,-0.008692876671583916,0.009508551761341126,0.008468551761341127,0.012346330977477336,0.011306330977477335,0.012598367436873216,0.011558367436873215
2012-03-26,0.002273262391099773,0.002273262391099773,0.0,0.0,5,184,-0.0005204441122417371,-0.0005963600498325389,0.002273262391099773,0.0009800465345837228,0.0015744142978921793,0.0012932158565160503,0.0012932158565160503,0.00279370650334151,0.00279370650334151,0.002869622440932312,0.002869622440932312
2012-03-27,0.00033044846375083255,0.00033044846375083255,0.0,0.0,5,184,-0.002722640423840257,-0.0028052785497576253,0.00031844260991888975,-0.0032475790880794886,-0.007175066876472069,0.003578027551830321,0.003578027551830321,0.0030530888875910894,0.0030530888875910894,0.003135727013508458,0.003135727013508458
2012-03-28,-0.020169567612836906,-0.020169567612836906,0.0,0.0,5,184,-0.035362586597156194,-0.03577611203728289,-0.02014485040049343,-0.028362365206821893,-0.025038034901503248,0.008192797593984988,0.008192797593984988,0.015193018984319288,0.015193018984319288,0.015606544424445985,0.015606544424445985
